numarul de linii si coloane din zone sau square
3
linia   coloana valoare
1       4       6
1       7       1
1       8       4
1       9       2
2       2       2
2       3       6
3       1       7
3       6       4
3       9       9
4       6       6
4       7       2
5       2       6
5       4       9
5       6       1
5       8       5
6       3       5
6       4       3
7       1       9
7       4       4
7       9       7
8       7       8
8       8       1
9       1       8
9       2       4
9       3       2
9       6       7
